,,Open,High,Low,Close,,,https://www.exness.com/intl/th/history_quotes/,,,,,GMT
2015.10.30,0:00,1.09861,1.10716,1.0965,1.10048,0,,,,,,,
2015.11.01,0:00,1.1023,1.10436,1.10182,1.10222,0,,,,,,,
2015.11.02,0:00,1.10222,1.10521,1.09999,1.10142,0,,,,,,,
2015.11.03,0:00,1.10153,1.10294,1.09357,1.09614,0,,,,,,,
2015.11.04,0:00,1.09615,1.09652,1.08435,1.08632,0,,,,,,,
2015.11.05,0:00,1.08634,1.0897,1.08332,1.0883,0,,,,,,,
2015.11.06,0:00,1.08826,1.08932,1.07052,1.07384,0,,,,,,,
2015.11.08,0:00,1.07255,1.07356,1.0719,1.07289,0,,,,,,,
2015.11.09,0:00,1.07278,1.07895,1.0726,1.07596,0,,,,,,,
2015.11.10,0:00,1.07598,1.07635,1.06737,1.07362,0,,,,,,,
2015.11.11,0:00,1.07362,1.07732,1.07052,1.07629,0,,,,,,,
2015.11.12,0:00,1.07625,1.08295,1.06907,1.08079,0,,,,,,,
2015.11.13,0:00,1.08083,1.08085,1.07137,1.07703,0,,,,,,,
2015.11.15,0:00,1.0727,1.07439,1.06863,1.06999,0,,,,,,,
2015.11.16,0:00,1.07,1.07574,1.06741,1.06868,0,,,,,,,
2015.11.17,0:00,1.06863,1.06902,1.06301,1.06427,0,,,,,,,
2015.11.18,0:00,1.06429,1.06919,1.06164,1.06708,0,,,,,,,
2015.11.19,0:00,1.06722,1.07624,1.06665,1.07255,0,,,,,,,
2015.11.20,0:00,1.07253,1.07279,1.06396,1.0645,0,,,,,,,
2015.11.22,0:00,1.06365,1.06455,1.06346,1.06369,0,,,,,,,
2015.11.23,0:00,1.06376,1.06563,1.05918,1.0636,0,,,,,,,
2015.11.24,0:00,1.06358,1.06729,1.06191,1.06424,0,,,,,,,
2015.11.25,0:00,1.0642,1.06887,1.05653,1.06225,0,,,,,,,
2015.11.26,0:00,1.06224,1.06267,1.05995,1.06059,0,,,,,,,
2015.11.27,0:00,1.06051,1.06376,1.05682,1.05919,0,,,,,,,
2015.11.29,0:00,1.05885,1.05945,1.05812,1.05824,0,,,,,,,
2015.11.30,0:00,1.05843,1.05945,1.05575,1.05693,0,,,,,,,
2015.12.01,0:00,1.05691,1.06366,1.05628,1.06259,0,,,,,,,
2015.12.02,0:00,1.06253,1.06318,1.05504,1.061,0,,,,,,,
2015.12.03,0:00,1.06099,1.09801,1.05201,1.09172,0,,,,,,,
2015.12.04,0:00,1.09184,1.09557,1.08356,1.08809,0,,,,,,,
2015.12.06,0:00,1.08732,1.08867,1.0864,1.08807,0,,,,,,,
2015.12.07,0:00,1.08801,1.08801,1.07956,1.08331,0,,,,,,,
2015.12.08,0:00,1.08347,1.09022,1.08296,1.08919,0,,,,,,,
2015.12.09,0:00,1.08919,1.10422,1.08787,1.10144,0,,,,,,,
2015.12.10,0:00,1.10145,1.10208,1.09244,1.09462,0,,,,,,,
2015.12.11,0:00,1.09467,1.10301,1.09262,1.09917,0,,,,,,,
2015.12.13,0:00,1.09841,1.09949,1.09669,1.09801,0,,,,,,,
2015.12.14,0:00,1.09842,1.10481,1.0945,1.09909,0,,,,,,,
2015.12.15,0:00,1.09901,1.10593,1.09041,1.09335,0,,,,,,,
2015.12.16,0:00,1.09334,1.10109,1.08652,1.08728,0,,,,,,,
2015.12.17,0:00,1.08717,1.08869,1.08022,1.08422,0,,,,,,,
2015.12.18,0:00,1.08407,1.0874,1.08045,1.0865,0,,,,,,,
2015.12.20,0:00,1.08658,1.08746,1.08473,1.08692,0,,,,,,,
2015.12.21,0:00,1.08681,1.09384,1.08475,1.09105,0,,,,,,,
2015.12.22,0:00,1.091,1.09837,1.09017,1.09483,0,,,,,,,
2015.12.23,0:00,1.09482,1.09523,1.08692,1.09081,0,,,,,,,
2015.12.24,0:00,1.09079,1.09669,1.09077,1.0965,0,,,,,,,
2015.12.27,0:00,1.09589,1.09702,1.09493,1.09635,0,,,,,,,
2015.12.28,0:00,1.09629,1.0992,1.09554,1.0974,0,,,,,,,
2015.12.29,0:00,1.0975,1.09912,1.08984,1.09252,0,,,,,,,
2015.12.30,0:00,1.09252,1.09432,1.09015,1.09345,0,,,,,,,
2015.12.31,0:00,1.09346,1.09366,1.08525,1.0857,0,,,,,,,
2016.01.03,0:00,1.08569,1.08802,1.08448,1.08512,0,,,,,,,
2016.01.04,0:00,1.08537,1.09457,1.07806,1.08233,0,,,,,,,
2016.01.05,0:00,1.08218,1.08383,1.07102,1.07499,0,,,,,,,
2016.01.06,0:00,1.075,1.07988,1.07133,1.07761,0,,,,,,,
2016.01.07,0:00,1.07762,1.09396,1.07706,1.09254,0,,,,,,,
2016.01.08,0:00,1.09252,1.09296,1.08028,1.09244,0,,,,,,,
2016.01.10,0:00,1.09177,1.09693,1.09126,1.09369,0,,,,,,,
2016.01.11,0:00,1.09356,1.09448,1.08471,1.0856,0,,,,,,,
2016.01.12,0:00,1.08562,1.08997,1.0819,1.08426,0,,,,,,,
2016.01.13,0:00,1.08434,1.08881,1.08045,1.0885,0,,,,,,,
2016.01.14,0:00,1.08841,1.09428,1.08341,1.08566,0,,,,,,,
2016.01.15,0:00,1.08571,1.09841,1.08559,1.0913,0,,,,,,,
2016.01.17,0:00,1.09327,1.09327,1.0907,1.0918,0,,,,,,,
2016.01.18,0:00,1.09174,1.09231,1.08684,1.08923,0,,,,,,,
2016.01.19,0:00,1.08912,1.09385,1.08589,1.09101,0,,,,,,,
2016.01.20,0:00,1.091,1.09754,1.08728,1.0874,0,,,,,,,
2016.01.21,0:00,1.08735,1.09206,1.0777,1.08577,0,,,,,,,
